Zone,1,2,3,Total
AnnualSum,6.402947457711554e6,4.828777470698109e6,752421.1293814364,1.1984146057791099e7
t1,810.2696692134641,564.3743884506,0.0,1374.6440576640641
t2,736.35718464,342.9025253754551,0.0,1079.259710015455
t3,736.35718464,342.9025253754551,0.0,1079.259710015455
t4,736.35718464,147.37083135159017,0.0,883.7280159915902
t5,736.35718464,147.37083135159017,0.0,883.7280159915902
t6,736.35718464,99.54889902549918,0.0,835.9060836654992
t7,736.35718464,283.1549375739703,0.0,1019.5121222139703
t8,736.35718464,99.54889902549918,0.0,835.9060836654992
t9,316.6335893952001,0.0,0.0,316.6335893952001
t10,311.47908910272,0.0,0.0,311.47908910272
t11,311.47908910272,0.0,0.0,311.47908910272
t12,311.47908910272,0.0,0.0,311.47908910272
t13,311.47908910272,0.0,0.0,311.47908910272
t14,311.47908910272,0.0,0.0,311.47908910272
t15,316.6335893952001,0.0,0.0,316.6335893952001
t16,736.35718464,0.0,0.0,736.35718464
t17,736.35718464,293.90286139757245,0.0,1030.2600460375725
t18,736.35718464,322.61469495390355,0.0,1058.9718795939036
t19,736.35718464,322.61469495390355,0.0,1058.9718795939036
t20,736.35718464,322.61469495390355,0.0,1058.9718795939036
t21,736.35718464,322.61469495390355,0.0,1058.9718795939036
t22,736.35718464,187.90569511092704,0.0,924.262879750927
t23,736.35718464,151.33781232387133,0.0,887.6949969638713
t24,736.35718464,46.04340736496379,0.0,782.4005920049638
t25,736.35718464,0.0,0.0,736.35718464
t26,736.35718464,0.0,0.0,736.35718464
t27,736.35718464,0.0,0.0,736.35718464
t28,736.35718464,0.0,0.0,736.35718464
t29,736.35718464,0.0,0.0,736.35718464
t30,736.35718464,0.0,0.0,736.35718464
t31,736.35718464,0.0,0.0,736.35718464
t32,736.35718464,0.0,0.0,736.35718464
t33,316.6335893952001,0.0,0.0,316.6335893952001
t34,311.47908910272,0.0,0.0,311.47908910272
t35,311.47908910272,0.0,0.0,311.47908910272
t36,311.47908910272,0.0,0.0,311.47908910272
t37,311.47908910272,0.0,0.0,311.47908910272
t38,311.47908910272,0.0,0.0,311.47908910272
t39,311.47908910272,0.0,0.0,311.47908910272
t40,316.6335893952001,0.0,0.0,316.6335893952001
t41,736.35718464,0.0,0.0,736.35718464
t42,736.35718464,914.6975050825332,0.0,1651.054689722533
t43,736.35718464,1004.0557454053271,0.0,1740.4129300453271
t44,736.35718464,1004.0557454053271,0.0,1740.4129300453271
t45,736.35718464,1004.0557454053271,0.0,1740.4129300453271
t46,736.35718464,1004.0557454053271,0.0,1740.4129300453271
t47,736.35718464,991.003020715058,0.0,1727.360205355058
t48,736.35718464,348.4073436556485,0.0,1084.7645282956485
t49,736.35718464,348.4073436556485,0.0,1084.7645282956485
t50,736.35718464,348.4073436556485,0.0,1084.7645282956485
t51,736.35718464,348.4073436556485,0.0,1084.7645282956485
t52,736.35718464,159.35860006011706,0.0,895.7157847001171
t53,736.35718464,87.47084427029546,0.0,823.8280289102954
t54,736.35718464,87.47084427029546,0.0,823.8280289102954
t55,736.35718464,248.80035531637353,0.0,985.1575399563735
t56,736.35718464,161.3295110460781,0.0,897.6866956860781
t57,316.6335893952001,0.0,0.0,316.6335893952001
t58,311.47908910272,0.0,0.0,311.47908910272
t59,311.47908910272,0.0,0.0,311.47908910272
t60,311.47908910272,0.0,0.0,311.47908910272
t61,311.47908910272,0.0,0.0,311.47908910272
t62,311.47908910272,0.0,0.0,311.47908910272
t63,311.47908910272,0.0,0.0,311.47908910272
t64,316.6335893952001,0.0,0.0,316.6335893952001
t65,736.35718464,66.608578259523,2.2617822423853795e-8,802.9657629221408
t66,736.35718464,1336.3049734719855,2.2617822423853795e-8,2072.662158134603
t67,736.35718464,1457.8594999423572,0.0,2194.216684582357
t68,736.35718464,1457.8594999423572,0.0,2194.216684582357
t69,736.35718464,1457.8594999423572,0.0,2194.216684582357
t70,736.35718464,1457.8594999423572,0.0,2194.216684582357
t71,736.35718464,1457.8594999423572,0.0,2194.216684582357
t72,736.35718464,1457.8594999423572,0.0,2194.216684582357
t73,736.35718464,844.4679686048024,0.0,1580.8251532448026
t74,736.35718464,619.7607705138093,0.0,1356.1179551538094
t75,736.35718464,505.8772464799979,0.0,1242.234431119998
t76,736.35718464,505.8772464799979,0.0,1242.234431119998
t77,736.35718464,505.8772464799979,0.0,1242.234431119998
t78,736.35718464,505.8772464799979,0.0,1242.234431119998
