Resource,NENGREST_conventional_hydroelectric_1,NENG_CT_conventional_hydroelectric_1,NENG_ME_conventional_hydroelectric_1,NENGREST_conventional_steam_coal_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_other_peaker_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_steam_turbine_1,NENG_CT_nuclear_1,NENG_CT_other_peaker_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_natural_gas_steam_turbine_1,NENG_ME_other_peaker_1,NENGREST_naturalgas_ccccsavgcf_low_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENG_CT_naturalgas_ccccsavgcf_low_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_ME_naturalgas_ccccsavgcf_low_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_solar_photovoltaic_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_solar_photovoltaic_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_solar_photovoltaic_1,NENGREST_wave_400_0,NENGREST_landbasedwind_ltrg10_mid_1,NENGREST_landbasedwind_ltrg10_mid_2,NENGREST_landbasedwind_ltrg10_mid_3,NENGREST_landbasedwind_ltrg10_mid_4,NENGREST_landbasedwind_ltrg10_mid_5,NENGREST_landbasedwind_ltrg10_mid_6,NENGREST_utilitypv_chicago_mid_1,NENGREST_utilitypv_chicago_mid_2,NENGREST_utilitypv_chicago_mid_3,NENGREST_utilitypv_chicago_mid_4,NENGREST_utilitypv_chicago_mid_5,NENGREST_utilitypv_chicago_mid_6,NENGREST_offshorewind_otrg10_mid_floating_1_0,NENGREST_offshorewind_otrg10_mid_floating_1_1,NENGREST_offshorewind_otrg10_mid_floating_1_2,NENGREST_offshorewind_otrg10_mid_floating_1_3,NENGREST_offshorewind_otrg10_mid_floating_1_4,NENGREST_offshorewind_otrg10_mid_floating_1_5,NENG_CT_wave_400_0,NENG_CT_landbasedwind_ltrg10_mid_1,NENG_CT_landbasedwind_ltrg10_mid_2,NENG_CT_landbasedwind_ltrg10_mid_3,NENG_CT_landbasedwind_ltrg10_mid_4,NENG_CT_landbasedwind_ltrg10_mid_5,NENG_CT_landbasedwind_ltrg10_mid_6,NENG_CT_utilitypv_chicago_mid_1,NENG_CT_utilitypv_chicago_mid_2,NENG_CT_utilitypv_chicago_mid_3,NENG_CT_utilitypv_chicago_mid_4,NENG_CT_utilitypv_chicago_mid_5,NENG_CT_utilitypv_chicago_mid_6,NENG_ME_wave_400_0,NENG_ME_landbasedwind_ltrg10_mid_1,NENG_ME_landbasedwind_ltrg10_mid_2,NENG_ME_landbasedwind_ltrg10_mid_3,NENG_ME_landbasedwind_ltrg10_mid_4,NENG_ME_landbasedwind_ltrg10_mid_5,NENG_ME_landbasedwind_ltrg10_mid_6,NENG_ME_utilitypv_chicago_mid_1,NENG_ME_utilitypv_chicago_mid_2,NENG_ME_utilitypv_chicago_mid_3,NENG_ME_utilitypv_chicago_mid_4,NENG_ME_utilitypv_chicago_mid_5,NENG_ME_utilitypv_chicago_mid_6,NENGREST_batteries_1,NENGREST_hydroelectric_pumped_storage_1,NENG_CT_batteries_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_ME_batteries_1,NENGREST_battery_mid_0,NENG_CT_battery_mid_0,NENG_ME_battery_mid_0,NENGREST_res_water_heat_1,NENG_CT_res_water_heat_1,NENG_ME_res_water_heat_1,NENGREST_trans_light_duty_1,NENG_CT_trans_light_duty_1,NENG_ME_trans_light_duty_1,NENGREST_biomass_1,NENGREST_small_hydroelectric_1,NENG_CT_biomass_1,NENG_CT_small_hydroelectric_1,NENG_ME_biomass_1,NENG_ME_small_hydroelectric_1,Total
Zone,1,2,3,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,1,1,1,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,3,1,2,3,1,2,3,1,2,3,1,1,2,2,3,3,0
AnnualSum,0.0,0.0,0.0,4.830929334761998e6,0.0,0.0,0.0,0.0,18172.56362814848,930970.0936806934,0.0,0.0,0.0,0.0,186404.28871054325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.966476280781383e6
t1,0.0,0.0,0.0,311.47908910272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.47908910272
t2,0.0,0.0,0.0,311.47908910272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.47908910272
t3,0.0,0.0,0.0,311.47908910272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.47908910272
t4,0.0,0.0,0.0,311.47908910272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.47908910272
t5,0.0,0.0,0.0,311.47908910272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.47908910272
t6,0.0,0.0,0.0,311.47908910272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.47908910272
t7,0.0,0.0,0.0,311.47908910272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.47908910272
t8,0.0,0.0,0.0,311.47908910272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.47908910272
