wec_cost,power_lim,diameter,omega_n,zeta,electrification,carbon_constraint,year,system_cost,carbon,system_capacity,wave_capacity,solar_capacity,onshore_wind_capacity,offshore_wind_capacity,battery_capacity,fossil_capacity,solar_costs,onshore_wind_costs,offshore_wind_costs,battery_costs,fossil_costs,fossil_energy,wave_energy
400.0,100.0,20.0,0.5,0.05,ref,med,2030,2175444749.2039566,5966476.280781392,33794.97684071133,8844.228712999451,2343.3,0.0,0.0,0.0,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],6268921.487937465,71738492.56916814
500.0,100.0,20.0,0.5,0.05,ref,med,2030,2357258231.91822,6569061.87320892,34133.69716887037,8092.859851138249,2797.5170853368168,0.0,0.0,0.0,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],7546779.229834251,66426472.61001627
600.0,100.0,20.0,0.5,0.05,ref,med,2030,2515588371.7862,7139425.646246421,35881.1208857547,6904.910213839848,4291.200000000001,666.7,0.0,0.0,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],8913955.396822333,56225104.72190433
400.0,100.0,20.0,0.6,0.05,ref,med,2030,2120605328.0754116,5472095.894553818,33749.33550529668,8884.453606760431,2291.534377379382,0.0,0.0,0.0,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],5059416.545796425,73672947.0012949
500.0,100.0,20.0,0.6,0.05,ref,med,2030,2304749443.378133,5886431.893330889,33873.941845664,8339.165816083025,2493.4188562624095,0.0,0.0,0.0,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],5887066.465135107,69181386.36999479
600.0,100.0,20.0,0.6,0.05,ref,med,2030,2471748376.335298,6474714.165369307,35688.00286902075,7199.631016512434,4197.350381745763,480.3553303016205,0.0,0.0,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],7342470.137641635,59752830.91373841
400.0,100.0,20.0,0.7,0.05,ref,med,2030,,,,,,,,,,,,,,,,
500.0,100.0,20.0,0.7,0.05,ref,med,2030,2889863123.901669,12320130.362388816,49308.44525861087,0.0,14284.350750901413,7273.563212248335,0.0,482.15348539713716,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676647,0.0
600.0,100.0,20.0,0.7,0.05,ref,med,2030,,,,,,,,,,,,,,,,
400.0,100.0,20.0,0.5,0.15,ref,med,2030,2177242569.9684143,5988026.36355198,33794.94621341455,8843.95306732846,2343.3,0.0,0.0,0.0,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],6309349.407649275,72101665.97029883
