gen	time	cMinPowerThermal	cMaxPowerThermal	cRampUpThermal	cRampDownThermal
17	1	0.0	0.0	0.0	0.0
5	2	0.0	0.0	0.0	0.0
17	2	0.0	0.0	0.0	0.0
22	2	0.0	0.0	0.0	0.0
25	2	0.0	0.0	0.0	0.0
17	3	0.0	0.0	0.0	0.0
19	3	0.0	0.0	0.0	0.0
20	3	0.0	0.0	0.0	0.0
17	4	0.0	0.0	0.0	0.0
17	5	0.0	0.0	0.0	0.0
22	5	0.0	0.0	0.0	0.0
25	5	0.0	0.0	0.0	0.0
7	6	0.0	0.0	0.0	0.0
17	6	0.0	0.0	0.0	0.0
17	7	0.0	0.0	0.0	0.0
19	7	0.0	0.0	0.0	0.0
17	8	0.0	0.0	0.0	0.0
25	8	0.0	0.0	0.0	0.0
17	9	0.0	0.0	0.0	0.0
17	10	0.0	0.0	0.0	0.0
17	11	0.0	0.0	0.0	0.0
17	12	0.0	0.0	0.0	0.0
17	13	0.0	0.0	0.0	0.0
17	14	0.0	0.0	0.0	0.0
17	15	0.0	0.0	0.0	0.0
17	16	0.0	0.0	0.0	0.0
17	17	0.0	0.0	0.0	0.0
19	17	0.0	0.0	0.0	0.0
17	18	0.0	0.0	0.0	0.0
25	18	0.0	0.0	0.0	0.0
4	19	0.0	0.0	0.0	0.0
8	19	0.0	0.0	0.0	0.0
13	19	0.0	0.0	0.0	0.0
17	19	0.0	0.0	0.0	0.0
23	19	0.0	0.0	0.0	0.0
26	19	0.0	0.0	0.0	0.0
22	20	0.0	0.0	0.0	0.0
19	21	0.0	0.0	0.0	0.0
25	21	0.0	0.0	0.0	0.0
20	23	0.0	0.0	0.0	0.0
23	23	0.0	0.0	0.0	0.0
25	23	0.0	0.0	0.0	0.0
17	24	0.0	0.0	0.0	0.0
17	25	0.0	0.0	0.0	0.0
17	26	0.0	0.0	0.0	0.0
19	26	0.0	0.0	0.0	0.0
17	27	0.0	0.0	0.0	0.0
25	27	0.0	0.0	0.0	0.0
17	28	0.0	0.0	0.0	0.0
17	29	0.0	0.0	0.0	0.0
20	29	0.0	0.0	0.0	0.0
23	29	0.0	0.0	0.0	0.0
26	29	0.0	0.0	0.0	0.0
17	30	0.0	0.0	0.0	0.0
17	31	0.0	0.0	0.0	0.0
20	31	0.0	0.0	0.0	0.0
23	31	0.0	0.0	0.0	0.0
26	31	0.0	0.0	0.0	0.0
17	32	0.0	0.0	0.0	0.0
17	33	0.0	0.0	0.0	0.0
20	33	0.0	0.0	0.0	0.0
23	33	0.0	0.0	0.0	0.0
26	33	0.0	0.0	0.0	0.0
17	34	0.0	0.0	0.0	0.0
17	35	0.0	0.0	0.0	0.0
20	35	0.0	0.0	0.0	0.0
23	35	0.0	0.0	0.0	0.0
26	35	0.0	0.0	0.0	0.0
17	36	0.0	0.0	0.0	0.0
17	37	0.0	0.0	0.0	0.0
20	37	0.0	0.0	0.0	0.0
23	37	0.0	0.0	0.0	0.0
26	37	0.0	0.0	0.0	0.0
17	38	0.0	0.0	0.0	0.0
17	39	0.0	0.0	0.0	0.0
20	39	0.0	0.0	0.0	0.0
23	39	0.0	0.0	0.0	0.0
17	40	0.0	0.0	0.0	0.0
26	40	0.0	0.0	0.0	0.0
17	41	0.0	0.0	0.0	0.0
20	41	0.0	0.0	0.0	0.0
23	41	0.0	0.0	0.0	0.0
4	42	0.0	0.0	0.0	0.0
13	42	0.0	0.0	0.0	0.0
17	42	0.0	0.0	0.0	0.0
26	42	0.0	0.0	0.0	0.0
17	43	0.0	0.0	0.0	0.0
17	44	0.0	0.0	0.0	0.0
25	44	0.0	0.0	0.0	0.0
26	44	0.0	0.0	0.0	0.0
17	45	0.0	0.0	0.0	0.0
5	46	0.0	0.0	0.0	0.0
17	46	0.0	0.0	0.0	0.0
8	47	0.0	0.0	0.0	0.0
13	47	0.0	0.0	0.0	0.0
17	47	0.0	0.0	0.0	0.0
17	48	0.0	0.0	0.0	0.0
20	48	0.0	0.0	0.0	0.0
23	48	0.0	0.0	0.0	0.0
