gen,time,cMinPowerThermal,cMaxPowerThermal
8,1,0,0
13,1,0,0
17,1,0,0
19,1,0,0
5,2,0,0
17,2,0,0
22,2,0,0
25,2,0,0
17,3,0,0
19,3,0,0
20,3,0,0
22,3,0,0
5,4,0,0
17,4,0,0
19,4,0,0
17,5,0,0
22,5,0,0
25,5,0,0
5,6,0,0
7,6,0,0
17,6,0,0
22,6,0,0
25,6,0,0
7,7,0,0
17,7,0,0
19,7,0,0
17,8,0,0
25,8,0,0
5,9,0,0
17,9,0,0
25,9,0,0
17,10,0,0
12,11,0,0
17,11,0,0
17,12,0,0
17,13,0,0
5,14,0,0
17,14,0,0
17,15,0,0
17,16,0,0
5,17,0,0
17,17,0,0
19,17,0,0
5,18,0,0
17,18,0,0
19,18,0,0
25,18,0,0
4,19,0,0
8,19,0,0
13,19,0,0
17,19,0,0
23,19,0,0
26,19,0,0
5,20,0,0
20,20,0,0
22,20,0,0
5,21,0,0
19,21,0,0
25,21,0,0
5,22,0,0
19,22,0,0
19,23,0,0
20,23,0,0
22,23,0,0
23,23,0,0
25,23,0,0
4,24,0,0
8,24,0,0
13,24,0,0
17,24,0,0
19,24,0,0
25,24,0,0
26,24,0,0
5,25,0,0
8,25,0,0
13,25,0,0
17,25,0,0
25,25,0,0
5,26,0,0
17,26,0,0
19,26,0,0
17,27,0,0
25,27,0,0
5,28,0,0
17,28,0,0
25,28,0,0
17,29,0,0
20,29,0,0
23,29,0,0
26,29,0,0
5,30,0,0
17,30,0,0
17,31,0,0
20,31,0,0
23,31,0,0
26,31,0,0
17,32,0,0
5,33,0,0
17,33,0,0
20,33,0,0
23,33,0,0
26,33,0,0
17,34,0,0
17,35,0,0
20,35,0,0
23,35,0,0
26,35,0,0
5,36,0,0
17,36,0,0
17,37,0,0
20,37,0,0
23,37,0,0
26,37,0,0
17,38,0,0
17,39,0,0
20,39,0,0
23,39,0,0
5,40,0,0
17,40,0,0
26,40,0,0
17,41,0,0
20,41,0,0
23,41,0,0
4,42,0,0
13,42,0,0
17,42,0,0
26,42,0,0
8,43,0,0
13,43,0,0
17,43,0,0
17,44,0,0
25,44,0,0
26,44,0,0
17,45,0,0
20,45,0,0
23,45,0,0
26,45,0,0
5,46,0,0
17,46,0,0
19,46,0,0
7,47,0,0
8,47,0,0
13,47,0,0
17,47,0,0
25,47,0,0
4,48,0,0
8,48,0,0
13,48,0,0
17,48,0,0
20,48,0,0
23,48,0,0
25,48,0,0
26,48,0,0
5,49,0,0
17,49,0,0
25,49,0,0
5,50,0,0
17,50,0,0
20,50,0,0
23,50,0,0
26,50,0,0
17,51,0,0
20,51,0,0
23,51,0,0
17,52,0,0
26,52,0,0
7,53,0,0
17,53,0,0
20,53,0,0
23,53,0,0
17,54,0,0
20,54,0,0
23,54,0,0
26,54,0,0
5,55,0,0
17,55,0,0
17,56,0,0
20,56,0,0
23,56,0,0
26,56,0,0
5,57,0,0
17,57,0,0
7,58,0,0
17,58,0,0
20,58,0,0
23,58,0,0
26,58,0,0
17,59,0,0
19,59,0,0
17,60,0,0
20,60,0,0
23,60,0,0
26,60,0,0
5,61,0,0
7,61,0,0
17,61,0,0
19,61,0,0
22,61,0,0
7,62,0,0
17,62,0,0
20,62,0,0
23,62,0,0
26,62,0,0
17,63,0,0
19,63,0,0
22,63,0,0
26,63,0,0
17,64,0,0
20,64,0,0
23,64,0,0
5,65,0,0
17,65,0,0
19,65,0,0
22,65,0,0
26,65,0,0
17,66,0,0
20,66,0,0
22,66,0,0
26,66,0,0
17,67,0,0
19,67,0,0
23,67,0,0
17,68,0,0
20,68,0,0
26,68,0,0
17,69,0,0
22,69,0,0
17,70,0,0
19,70,0,0
20,70,0,0
23,70,0,0
26,70,0,0
5,71,0,0
17,71,0,0
17,72,0,0
20,72,0,0
23,72,0,0
26,72,0,0
17,73,0,0
17,74,0,0
20,74,0,0
23,74,0,0
26,74,0,0
17,75,0,0
19,75,0,0
17,76,0,0
19,76,0,0
20,76,0,0
23,76,0,0
26,76,0,0
5,77,0,0
17,77,0,0
17,78,0,0
20,78,0,0
23,78,0,0
26,78,0,0
17,79,0,0
5,80,0,0
17,80,0,0
26,80,0,0
17,81,0,0
20,81,0,0
23,81,0,0
17,82,0,0
26,82,0,0
17,83,0,0
20,83,0,0
23,83,0,0
17,84,0,0
5,85,0,0
17,85,0,0
19,85,0,0
20,85,0,0
23,85,0,0
26,85,0,0
17,86,0,0
22,86,0,0
17,87,0,0
19,87,0,0
17,88,0,0
20,88,0,0
23,88,0,0
26,88,0,0
5,89,0,0
17,89,0,0
5,90,0,0
17,90,0,0
17,91,0,0
20,91,0,0
23,91,0,0
26,91,0,0
17,92,0,0
5,93,0,0
17,93,0,0
17,94,0,0
20,94,0,0
23,94,0,0
26,94,0,0
5,95,0,0
17,95,0,0
17,96,0,0
20,96,0,0
23,96,0,0
26,96,0,0
17,97,0,0
17,98,0,0
20,98,0,0
23,98,0,0
26,98,0,0
5,99,0,0
17,99,0,0
5,100,0,0
17,100,0,0
17,101,0,0
20,101,0,0
23,101,0,0
26,101,0,0
17,102,0,0
5,103,0,0
17,103,0,0
5,104,0,0
17,104,0,0
20,104,0,0
23,104,0,0
26,104,0,0
17,105,0,0
17,106,0,0
17,107,0,0
5,108,0,0
17,108,0,0
5,109,0,0
17,109,0,0
17,110,0,0
17,111,0,0
17,112,0,0
19,112,0,0
17,113,0,0
8,114,0,0
17,114,0,0
19,114,0,0
22,114,0,0
4,115,0,0
8,115,0,0
13,115,0,0
17,115,0,0
20,115,0,0
26,115,0,0
7,116,0,0
10,116,0,0
15,116,0,0
17,116,0,0
19,116,0,0
22,116,0,0
23,116,0,0
5,117,0,0
12,118,0,0
7,119,0,0
10,119,0,0
20,119,0,0
21,119,0,0
22,119,0,0
24,119,0,0
26,119,0,0
4,120,0,0
7,120,0,0
8,120,0,0
13,120,0,0
17,120,0,0
19,120,0,0
22,120,0,0
17,121,0,0
25,121,0,0
17,122,0,0
20,122,0,0
23,122,0,0
25,122,0,0
26,122,0,0
5,123,0,0
17,123,0,0
17,124,0,0
23,124,0,0
25,124,0,0
26,124,0,0
17,125,0,0
20,125,0,0
17,126,0,0
25,126,0,0
17,127,0,0
5,128,0,0
13,128,0,0
17,128,0,0
19,128,0,0
25,128,0,0
17,129,0,0
17,130,0,0
19,130,0,0
25,130,0,0
17,131,0,0
5,132,0,0
17,132,0,0
19,132,0,0
25,132,0,0
5,133,0,0
17,133,0,0
17,134,0,0
19,134,0,0
25,134,0,0
17,135,0,0
19,135,0,0
8,136,0,0
13,136,0,0
17,136,0,0
19,136,0,0
22,136,0,0
25,136,0,0
8,137,0,0
13,137,0,0
17,137,0,0
19,137,0,0
25,137,0,0
17,138,0,0
19,138,0,0
22,138,0,0
27,138,0,0
17,139,0,0
24,139,0,0
25,139,0,0
17,140,0,0
19,140,0,0
22,140,0,0
27,140,0,0
17,141,0,0
25,141,0,0
5,142,0,0
17,142,0,0
19,142,0,0
24,142,0,0
17,143,0,0
21,143,0,0
25,143,0,0
27,143,0,0
17,144,0,0
19,144,0,0
22,144,0,0
13,145,0,0
17,145,0,0
8,146,0,0
13,146,0,0
17,146,0,0
8,147,0,0
17,147,0,0
19,147,0,0
22,147,0,0
4,148,0,0
8,148,0,0
13,148,0,0
17,148,0,0
13,149,0,0
17,149,0,0
21,149,0,0
22,149,0,0
23,149,0,0
27,149,0,0
10,150,0,0
15,150,0,0
17,150,0,0
19,150,0,0
20,150,0,0
26,150,0,0
24,151,0,0
27,151,0,0
10,152,0,0
15,152,0,0
17,152,0,0
10,153,0,0
15,153,0,0
17,153,0,0
19,153,0,0
17,154,0,0
24,154,0,0
5,155,0,0
7,155,0,0
10,155,0,0
15,155,0,0
17,155,0,0
25,155,0,0
7,156,0,0
10,156,0,0
15,156,0,0
17,156,0,0
7,157,0,0
12,157,0,0
22,157,0,0
23,157,0,0
5,158,0,0
10,158,0,0
15,158,0,0
17,158,0,0
19,158,0,0
22,158,0,0
25,158,0,0
7,159,0,0
10,159,0,0
15,159,0,0
17,159,0,0
19,159,0,0
24,159,0,0
25,159,0,0
10,160,0,0
15,160,0,0
17,160,0,0
20,160,0,0
21,160,0,0
22,160,0,0
24,160,0,0
25,160,0,0
27,160,0,0
10,161,0,0
15,161,0,0
17,161,0,0
19,161,0,0
21,161,0,0
24,161,0,0
25,161,0,0
27,161,0,0
5,162,0,0
10,162,0,0
15,162,0,0
17,162,0,0
21,162,0,0
23,162,0,0
24,162,0,0
27,162,0,0
10,163,0,0
15,163,0,0
17,163,0,0
19,163,0,0
21,163,0,0
24,163,0,0
25,163,0,0
